property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ats triumph,sector 104,2.6,8254.0,4.0,4.0,3+,12.0,Relatively New,2851.0,0.0,1.0,0.0,0.0,0.0,0.0,118.0,787.5
flat,conscient heritage max,sector 102,2.2,10237.0,3.0,4.0,3+,9.0,Moderately Old,1945.0,1.0,1.0,0.0,0.0,0.0,0.0,125.0,716.3333333333334
flat,godrej habitat,sector 3,1.2,8310.0,2.0,2.0,3,0.0,Under Construction,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,722.0
house,independent,sector 9,1.65,18333.0,2.0,3.0,0,3.0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
flat,hcbs sports ville,sohna road,0.29,3973.0,2.0,2.0,1,4.0,Relatively New,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0
house,independent,sector 105,0.65,9028.0,3.0,2.0,1,1.0,Relatively New,720.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,240.0
flat,emaar imperial gardens,sector 102,1.98,9900.0,3.0,3.0,3+,9.0,Relatively New,2222.0,0.0,1.0,0.0,0.0,0.0,1.0,72.0,666.6666666666666
flat,sobha city,sector 108,3.95,16859.0,4.0,5.0,3,25.0,Relatively New,2343.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,585.75
flat,pioneer araya,sector 62,9.2,19944.0,4.0,6.0,3,5.0,Relatively New,3867.0,0.0,1.0,0.0,1.0,0.0,1.0,156.0,1153.25
flat,conscient elevate,sector 59,3.9,16993.0,3.0,1.0,No,0.0,Under Construction,2295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0
house,independent,sector 47,0.99,17188.0,1.0,4.0,3,4.0,Relatively New,576.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,576.0
flat,emaar digihomes,sector 62,2.15,14257.0,2.0,2.0,3,31.0,Under Construction,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,754.0
flat,ireo victory valley,sector 67,3.49,12998.0,3.0,3.0,3,19.0,Relatively New,2724.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,895.0
house,independent,sector 11,2.1,17284.0,2.0,6.0,3+,3.0,Relatively New,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,607.5
flat,zara aavaas,sector 104,0.4,7030.0,2.0,2.0,1,14.0,Relatively New,515.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,284.5
flat,bptp terra,sector 37d,1.8,8215.0,4.0,3.0,3,18.0,Relatively New,2025.0,1.0,1.0,0.0,1.0,0.0,0.0,49.0,547.75
flat,m3m sierra 68,sector 68,1.08,8675.0,2.0,2.0,3,1.0,Relatively New,1130.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0,622.5
flat,m3m woodshire,sector 107,0.94,6881.0,2.0,2.0,3+,1.0,Moderately Old,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,683.0
flat,assotech blith,sector 99,1.6,6667.0,3.0,4.0,No,15.0,New Property,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,800.0
flat,residency grand,sector 52,5.0,9615.0,5.0,5.0,3+,2.0,Moderately Old,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0
flat,godrej nature plus,sector 33,1.35,8232.0,3.0,2.0,3+,7.0,Under Construction,1484.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,546.6666666666666
