property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,41.0,2.0,2.0,2.0,4.0,1492.0,0.0,0.0,0.0,2.0,1.0,1.2
0.0,40.0,4.0,5.0,4.0,3.0,2663.0,1.0,0.0,0.0,2.0,1.0,5.5
0.0,6.0,3.0,4.0,4.0,0.0,1748.0,1.0,0.0,0.0,2.0,2.0,1.78
0.0,8.0,1.0,2.0,2.0,1.0,334.0,0.0,0.0,0.0,2.0,2.0,0.2
0.0,8.0,3.0,2.0,4.0,3.0,1607.0,0.0,0.0,1.0,2.0,0.0,1.2
0.0,41.0,2.0,2.0,2.0,4.0,623.0,0.0,0.0,0.0,1.0,2.0,0.4
0.0,75.0,3.0,4.0,3.0,3.0,1833.0,1.0,1.0,2.0,0.0,2.0,2.3
0.0,105.0,2.0,2.0,2.0,2.0,1176.0,0.0,0.0,0.0,2.0,0.0,0.65
0.0,16.0,4.0,4.0,3.0,1.0,3350.0,0.0,0.0,0.0,2.0,0.0,4.0
0.0,17.0,3.0,4.0,4.0,3.0,2005.0,1.0,1.0,0.0,2.0,0.0,2.65
1.0,52.0,3.0,3.0,1.0,0.0,1080.0,0.0,0.0,0.0,1.0,1.0,2.75
1.0,31.0,4.0,4.0,3.0,4.0,2844.0,1.0,1.0,1.0,0.0,2.0,3.51
0.0,91.0,3.0,3.0,3.0,3.0,1176.0,0.0,1.0,1.0,2.0,0.0,1.3
0.0,97.0,3.0,3.0,2.0,3.0,1778.0,1.0,0.0,1.0,1.0,2.0,1.19
0.0,105.0,3.0,4.0,4.0,2.0,1608.0,1.0,0.0,2.0,1.0,1.0,1.25
0.0,6.0,3.0,3.0,3.0,3.0,1852.0,0.0,0.0,0.0,2.0,2.0,2.12
0.0,98.0,4.0,4.0,3.0,3.0,3222.0,1.0,0.0,0.0,1.0,2.0,2.2
0.0,71.0,3.0,3.0,3.0,1.0,1630.0,0.0,0.0,0.0,2.0,1.0,2.41
1.0,35.0,2.0,8.0,4.0,0.0,900.0,0.0,0.0,1.0,1.0,2.0,2.1
0.0,91.0,2.0,2.0,2.0,3.0,1300.0,0.0,0.0,0.0,1.0,2.0,1.0
0.0,97.0,2.0,2.0,2.0,3.0,1199.0,0.0,0.0,1.0,1.0,2.0,0.75
0.0,32.0,5.0,5.0,4.0,2.0,5778.0,1.0,0.0,2.0,1.0,1.0,8.0
0.0,83.0,3.0,3.0,4.0,1.0,1950.0,1.0,0.0,0.0,2.0,2.0,1.64
0.0,107.0,4.0,3.0,2.0,1.0,1983.0,0.0,0.0,0.0,1.0,0.0,0.95
0.0,97.0,3.0,3.0,3.0,3.0,1549.0,1.0,0.0,1.0,2.0,2.0,1.8
0.0,74.0,1.0,1.0,5.0,4.0,693.0,0.0,0.0,0.0,1.0,2.0,0.7
0.0,101.0,3.0,3.0,3.0,1.0,1642.0,0.0,0.0,0.0,2.0,2.0,1.29
0.0,91.0,2.0,2.0,2.0,3.0,1556.0,1.0,1.0,2.0,2.0,2.0,1.4
0.0,27.0,3.0,4.0,4.0,0.0,1738.0,1.0,0.0,1.0,2.0,2.0,1.51
0.0,97.0,3.0,4.0,3.0,3.0,1551.0,1.0,1.0,1.0,0.0,2.0,1.8
1.0,32.0,2.0,9.0,3.0,3.0,1961.0,0.0,1.0,1.0,2.0,2.0,7.6
0.0,11.0,2.0,2.0,1.0,3.0,598.0,0.0,0.0,2.0,1.0,2.0,0.49
0.0,108.0,2.0,2.0,5.0,3.0,730.0,0.0,0.0,0.0,1.0,1.0,0.4
0.0,41.0,3.0,3.0,3.0,4.0,2667.0,1.0,1.0,0.0,2.0,1.0,3.3
0.0,82.0,3.0,4.0,2.0,3.0,1950.0,1.0,0.0,0.0,1.0,0.0,1.75
0.0,70.0,4.0,5.0,3.0,3.0,2604.0,1.0,0.0,1.0,1.0,0.0,3.6
0.0,27.0,2.0,2.0,3.0,0.0,1281.0,0.0,0.0,0.0,2.0,1.0,0.98
0.0,69.0,2.0,2.0,5.0,3.0,790.0,0.0,0.0,1.0,1.0,1.0,0.6
0.0,56.0,4.0,5.0,4.0,3.0,4422.0,1.0,0.0,0.0,1.0,1.0,11.25
0.0,113.0,2.0,2.0,2.0,3.0,750.0,0.0,0.0,0.0,1.0,2.0,0.38
0.0,101.0,2.0,2.0,4.0,3.0,133.0,0.0,0.0,2.0,2.0,2.0,1.45
0.0,94.0,1.0,1.0,1.0,3.0,366.0,0.0,0.0,2.0,2.0,0.0,0.31
0.0,6.0,2.0,2.0,1.0,4.0,817.0,0.0,0.0,0.0,2.0,2.0,1.1
0.0,46.0,3.0,2.0,4.0,3.0,1376.0,0.0,0.0,0.0,1.0,0.0,1.5
0.0,105.0,2.0,2.0,3.0,3.0,1222.0,0.0,0.0,0.0,0.0,2.0,0.65
0.0,107.0,3.0,4.0,4.0,3.0,1615.0,1.0,0.0,1.0,0.0,2.0,1.6
0.0,99.0,3.0,4.0,3.0,3.0,2179.0,1.0,0.0,1.0,1.0,1.0,1.85
0.0,113.0,2.0,2.0,1.0,3.0,535.0,0.0,0.0,0.0,2.0,1.0,0.25
1.0,56.0,4.0,4.0,4.0,3.0,3240.0,1.0,1.0,1.0,2.0,1.0,7.8
1.0,49.0,5.0,4.0,3.0,4.0,146.0,0.0,0.0,0.0,1.0,2.0,0.8
0.0,107.0,3.0,2.0,2.0,3.0,1300.0,0.0,0.0,0.0,1.0,0.0,0.85
0.0,113.0,2.0,2.0,3.0,4.0,1222.0,0.0,0.0,0.0,2.0,2.0,0.78
0.0,113.0,2.0,2.0,2.0,1.0,658.0,0.0,0.0,0.0,1.0,0.0,0.35
0.0,65.0,3.0,3.0,4.0,2.0,1800.0,1.0,0.0,0.0,0.0,2.0,1.55
0.0,70.0,2.0,3.0,2.0,3.0,1250.0,1.0,0.0,1.0,1.0,2.0,2.15
0.0,45.0,2.0,2.0,4.0,3.0,1179.0,0.0,1.0,1.0,2.0,0.0,0.95
0.0,56.0,3.0,3.0,4.0,3.0,2000.0,1.0,0.0,1.0,0.0,2.0,2.7
0.0,35.0,2.0,2.0,2.0,3.0,1222.0,0.0,0.0,0.0,2.0,2.0,1.6
0.0,105.0,3.0,3.0,4.0,3.0,1566.0,0.0,0.0,0.0,2.0,2.0,1.13
1.0,35.0,4.0,2.0,2.0,3.0,1458.0,0.0,0.0,0.0,1.0,1.0,2.58
0.0,66.0,5.0,6.0,4.0,0.0,5010.0,1.0,0.0,1.0,0.0,0.0,5.5
0.0,77.0,3.0,4.0,2.0,3.0,2200.0,1.0,0.0,1.0,0.0,0.0,3.05
0.0,72.0,1.0,1.0,5.0,3.0,639.0,0.0,0.0,0.0,1.0,1.0,0.9
0.0,77.0,1.0,1.0,1.0,3.0,826.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,95.0,2.0,2.0,2.0,3.0,1175.0,0.0,0.0,1.0,2.0,1.0,0.78
1.0,47.0,2.0,7.0,4.0,3.0,900.0,0.0,1.0,0.0,1.0,2.0,2.1
